,id,main_code,statistics_main_code,name,advisor,trustee,operate_mode_id,operate_mode,underlying_asset_type_id,underlying_asset_type,invest_style_id,invest_style,start_date,end_date
900,2577,004076,,国联安锐意混合,国联安基金管理有限公司,中国民生银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-01-23,
901,2586,004091,004091,博时沪港深价值优选,博时基金管理有限公司,中信银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-01-25,
902,2591,004098,,前海开源港股通股息率50强,前海开源基金管理有限公司,中国建设银行股份有限公司,401001,开放式基金,402001,股票型,005001,普通股票型,2017-05-08,
903,2592,004099,,前海开源沪港深景气行业,前海开源基金管理有限公司,中国建设银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-05-08,
904,2600,004112,,创金合信国企活力,创金合信基金管理有限公司,中国工商银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-01-23,
905,2606,004119,,广发创新驱动混合,广发基金管理有限公司,中国工商银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-06-09,
906,2618,004135,004135,申万菱信量化成长混合,申万菱信基金管理有限公司,中国工商银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-03-10,
907,2621,004139,,中邮军民融合,中邮创业基金管理股份有限公司,中国农业银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-04-01,
908,2627,004148,,圆信永丰多策略,圆信永丰基金管理有限公司,兴业银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-03-29,
909,2636,004166,004166,东方价值挖掘灵活配置混合,东方基金管理股份有限公司,中国民生银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-05-17,
910,2645,004183,004183,富国产业升级混合,富国基金管理有限公司,中国建设银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-06-09,
911,2648,004189,,华商消费行业股票,华商基金管理有限公司,中国银行股份有限公司,401001,开放式基金,402001,股票型,005001,普通股票型,2017-03-15,
912,2657,004205,,东方支柱产业灵活配置混合,东方基金管理股份有限公司,中国建设银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-05-24,
913,2658,004206,,华商元亨,华商基金管理有限公司,国泰君安证券股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-01-25,
914,2661,004211,,金鹰周期优选混合,金鹰基金管理有限公司,中国工商银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2018-01-29,
915,2662,004212,004212,中融量化智选混合,中融基金管理有限公司,中国工商银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-03-22,
916,2669,519983,519983,长信量化先锋混合,长信基金管理有限责任公司,交通银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2010-11-18,
917,2671,004223,,金信多策略混合,金信基金管理有限公司,广州农村商业银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-06-08,
